Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
"41521-1","Mixels","Series 3",2014,"Footi",,72,2.99,4.99,5.99,,673419211819,"",1,3.7600,3.0000,
"41522-1","Mixels","Series 3",2014,"Scorpi",,70,2.99,4.99,5.99,,673419211826,"",1,8.7400,3.5000,
"41523-1","Mixels","Series 3",2014,"Hoogi",,69,2.99,4.99,5.99,,673419211833,"",1,3.7500,2.7500,
"41524-1","Mixels","Series 3",2014,"Mesmo",,64,2.99,4.99,5.99,,673419211840,"",1,3.8000,5.2500,
"41525-1","Mixels","Series 3",2014,"Magnifo",,61,2.99,4.99,5.99,,673419212151,"",1,3.7500,4.0000,
"41526-1","Mixels","Series 3",2014,"Wizwuz",,70,2.99,4.99,5.99,,673419212168,"",1,8.7400,5.2500,
"41527-1","Mixels","Series 4",2015,"Rokit",,66,2.99,4.99,5.99,5702015356114,673419233088,"",5,4.5000,,
"41528-1","Mixels","Series 4",2015,"Niksput",,62,2.99,4.99,5.99,5702015356121,673419233095,"",6,2.5200,3.0000,
"41529-1","Mixels","Series 4",2015,"Nurp-Naut",,52,2.99,4.99,5.99,5702015356138,673419233101,"",4,0.9900,,
"41530-1","Mixels","Series 4",2015,"Meltus",,66,2.99,4.99,5.99,5702015356145,673419233118,"",1,4.5000,,
"41531-1","Mixels","Series 4",2015,"Flamzer",,60,2.99,4.99,5.99,5702015356152,673419233125,"",1,4.0000,5.2500,
"41532-1","Mixels","Series 4",2015,"Burnard",,59,2.99,4.99,5.99,5702015356169,673419233132,"",1,3.5000,3.5000,
"41533-1","Mixels","Series 4",2015,"Globert",,45,2.99,4.99,5.99,5702015356275,673419233149,"",2,5.0000,6.2500,
"41534-1","Mixels","Series 4",2015,"Vampos",,59,2.99,4.99,5.99,5702015356282,673419233156,"",1,4.4900,4.7500,
"41535-1","Mixels","Series 4",2015,"Boogly",,52,2.99,4.99,5.99,5702015356312,673419233163,"",1,4.5000,2.5000,
"41536-1","Mixels","Series 5",2015,"Gox",,62,3,4.99,5.99,,,"",1,3.4200,,
"41537-1","Mixels","Series 5",2015,"Jinky",,59,3,4.99,5.99,,,"",1,4.9100,2.0000,
"41538-1","Mixels","Series 5",2015,"Kamzo",,58,3,4.99,5.99,,,"",1,2.1900,,
"41545-1","Mixels","Series 6",2015,"Kramm",,68,3,4.99,5.99,5702015356770,673419233286,"",1,3.0000,,
"41546-1","Mixels","Series 6",2015,"Forx",,65,3,4.99,5.99,5702015356787,673419233293,"",1,3.8400,,
"41547-1","Mixels","Series 6",2015,"Wuzzo",,74,3,4.99,5.99,5702015356794,673419233309,"",1,2.7100,3.7400,
"41557-1","Mixels","Series 7",2016,"Camillot",,64,3,4.99,5.99,,673419248808,"",1,3.6900,3.9300,
